DCB Bank,7 days to 45 days,3.75%,3.75%,4.25%,4.25%,,,30000000
DCB Bank,46 days to 90 days,4.00%,4.00%,4.50%,4.50%,,,30000000
DCB Bank,91 days to less than 6 months,4.75%,4.75%,5.25%,5.25%,,,30000000
DCB Bank,6 months to less than 10 months,6.20%,6.30%,6.70%,6.81%,,,30000000
DCB Bank,10 months to less than 12 months,7.25%,7.38%,7.75%,7.90%,,,30000000
DCB Bank,12 months,7.10%,7.29%,7.60%,7.82%,,,30000000
DCB Bank,More than 12  months to 12 month 10 days,7.75%,7.98%,8.25%,8.51%,,,30000000
DCB Bank,12 months 11 days to 17 months  ,7.15%,7.41%,7.65%,7.95%,,,30000000
DCB Bank,17 months 1 day to 18 months 5 days,7.10%,7.42%,7.60%,7.97%,,,30000000
DCB Bank,18 months 6 days to less than 19 months,7.40%,7.75%,7.90%,8.30%,,,30000000
DCB Bank,19 months to 20 months,8.05%,8.47%,8.55%,9.02%,,,30000000
DCB Bank,20 months 1 day to less than 700 days,7.40%,7.82%,7.90%,8.38%,,,30000000
DCB Bank,700 days to 26 months,7.50%,8.01%,8.00%,8.58%,,,30000000
DCB Bank,More than 26 months to less than 37 months,7.55%,8.39%,8.05%,9.00%,,,30000000
DCB Bank,37 months to 38 months,7.75%,8.63%,8.25%,9.25%,,,30000000
DCB Bank,More than 38 months to less than 61 months,7.40%,8.86%,7.90%,9.57%,,,30000000
DCB Bank,61 months,7.65%,9.21%,8.15%,9.94%,,,30000000
DCB Bank,More than 61 months to 120 months,7.25%,10.51%,7.75%,11.55%,,,30000000
