bank_name,tenure,gen_rate,annualised_gen_rate,sr_rate,annualised_sr_rate,super_sr_rate,annualised_super_sr_rate,threshold_amt
Bank of India,7 days to 14 days,3.00,,3.00,,3.00,,30000000
Bank of India,15 days to 30 days,3.00,,3.00,,3.00,,30000000
Bank of India,31 days to 45 days,3.00,,3.00,,3.00,,30000000
Bank of India,46 days to 90 days,4.50,,4.50,,4.50,,30000000
Bank of India,91 days to 179 days,4.50,,4.50,,4.50,,30000000
Bank of India,180 days to 210 days,6.00,,6.5,,6.65,,30000000
Bank of India,211 days to 269 days,6.00,,6.5,,6.65,,30000000
Bank of India,270 days to less than 1 Year,6.00,,6.5,,6.65,,30000000
Bank of India,1 Year,6.80,,7.3,,7.45,,30000000
Bank of India,Above 1 Year to less than 2 Years (except 400 Days),6.80,,7.3,,7.45,,30000000
Bank of India,400 days,7.30,,7.8,,7.95,,30000000
Bank of India,2 Years,6.80,,7.3,,7.45,,30000000
Bank of India,Above 2 Years to less than 3 Years,6.75,,7.25,,7.4,,30000000
Bank of India,3 Years to less than 5 Years,6.50,,7.0,,7.15,,30000000
Bank of India,5 Years to less than 8 Years,6.00,,6.5,,6.65,,30000000
Bank of India,8 years & above to 10 Years,6.00,,6.5,,6.65,,30000000
Bank of Maharashtra,7 - 30 days,2.75%,,,,,,30000000
Bank of Maharashtra,31-45 days,3.00%,,,,,,30000000
Bank of Maharashtra,46-90 days,4.75%,,,,,,30000000
Bank of Maharashtra,91-119 days,5.00%,,,,,,30000000
Bank of Maharashtra,120-180 days,5.25%,,,,,,30000000
Bank of Maharashtra,181 - 270 days,5.75%,,,,,,30000000
Bank of Maharashtra,271 - 364 days,5.75%,,,,,,30000000
Bank of Maharashtra,365 days/ One Year,6.75%,,,,,,30000000
Bank of Maharashtra,Above 1 year to 2 years,6.50%,,,,,,30000000
Bank of Maharashtra,Above 2 years to 3 years,6.50%,,,,,,30000000
Bank of Maharashtra,Above 3 years to 5 years,6.50%,,,,,,30000000
Bank of Maharashtra,Above 5 years,6.50%,,,,,,30000000
Canara Bank,7 Days to 45                                             Days,4.00%,4.06%,4.00%,4.06%,,,30000000
Canara Bank,46 Days to 90                                             Days,5.25%,5.35%,5.25%,5.35%,,,30000000
Canara Bank,91 Days to 179                                             Days,5.50%,5.61%,5.50%,5.61%,,,30000000
Canara Bank,180 Days to 269                                             Days,6.15%,6.29%,6.65%,6.82%,,,30000000
Canara Bank,270 Days to less than                                             1 Year,6.25%,6.40%,6.75%,6.92%,,,30000000
Canara Bank,1 Year Only,6.85%,7.03%,7.35%,7.56%,,,30000000
Canara Bank,444 Days,7.25%,7.45%,7.75%,7.98%,,,30000000
Canara Bank,Above 1 Year to less                                             than 2 Years,6.85%,7.03%,7.35%,7.56%,,,30000000
Canara Bank,2 Years & above                                             to less than 3 Years,6.85%,7.03%,7.35%,7.56%,,,30000000
Canara Bank,3 Years & above                                             to less than 5 Years,6.80%,6.98%,7.30%,7.50%,,,30000000
Central Bank of India,7 -14 days,3.50%,3.50%,4.00%,4.00%,,,30000000
Central Bank of India,15 – 30 days,3.75%,3.75%,4.25%,4.25%,,,30000000
Central Bank of India,31 - 45 days,3.75%,3.75%,4.25%,4.25%,,,30000000
Central Bank of India,46 – 59 days,4.50%,4.50%,5.00%,5.00%,,,30000000
Central Bank of India,60 – 90 days,4.75%,4.75%,5.25%,5.25%,,,30000000
Central Bank of India,91 – 179 days,5.50%,5.50%,6.00%,6.00%,,,30000000
Central Bank of India,180 – 270 days,6.25%,6.40%,6.75%,6.92%,,,30000000
Central Bank of India,271 – 364 days,6.25%,6.40%,6.75%,6.92%,,,30000000
